model,runtime,category,total_latency,tokens_per_second,memory_mb,cpu_percent
bart-base,pytorch_fp32,long,3.3763949155807493,15.119625935091406,860.922001953125,99.99549999999999
bart-base,pytorch_fp32,medium,3.6064259678125383,14.237547019450762,755.903994140625,99.99600000000001
bart-base,pytorch_fp32,short,3.238589587211609,15.820094298192679,655.39275390625,99.9925
distilbart-6-6,onnx_fp32,long,3.6574667686223985,13.690937391357652,1988.598544921875,99.9985
distilbart-6-6,onnx_fp32,medium,3.719336066246033,13.392488705982739,1741.8742578125,99.9985
distilbart-6-6,onnx_fp32,short,3.255740786194801,14.772646698459813,1735.776611328125,99.99825000000001
distilbart-6-6,onnx_int8,long,4.061200013160706,12.481069483998446,1127.421845703125,99.99950000000001
distilbart-6-6,onnx_int8,medium,3.638270520567894,13.75193844961595,879.414697265625,99.99775
distilbart-6-6,onnx_int8,short,3.1740537911653517,15.828676430504094,720.278291015625,99.99775
distilbart-6-6,pytorch_fp32,long,4.994490376114845,9.937949860819929,1591.997470703125,99.99875
distilbart-6-6,pytorch_fp32,medium,4.906668443679809,10.11252316819779,1482.151650390625,99.999
distilbart-6-6,pytorch_fp32,short,4.125786583423615,11.579210314001523,1195.394423828125,99.99825000000001
facebook/bart-base,onnx_fp32,long,3.7067550551891326,14.066506430763523,1401.37623046875,99.9985
facebook/bart-base,onnx_fp32,medium,3.491579450964928,14.82798936797927,1100.666630859375,99.99950000000001
facebook/bart-base,onnx_fp32,short,3.436600877046585,14.881125763886146,1118.37828125,99.99875
facebook/bart-base,onnx_int8,long,2.5650359493494035,20.210159781893843,912.4642578125,99.99975
facebook/bart-base,onnx_int8,medium,3.6938356536626817,14.119315416921754,769.33890625,99.99924999999999
facebook/bart-base,onnx_int8,short,2.2954354149103167,23.2036132425311,677.8294140625,99.99975
